0000.00-0000,J GRADE 190 PROOF INDUSTRIAL ETHANOL  J GRADE 190 PROOF INDUSTRIAL ETHANOL 
0207.27-1000,Meat of Turkey
0304.81-0000,Salmon fillets
0304.81-0000,Salmon fillets
0402.99-9000,Milk
0403.10-2000,Yogurt
0403.10-9000,Yogurt  YTRIM yogurt  R.KOREA
0405.90-0000,Other fats and oils derived from milk Parmesan Cheese and Basil Garlic Butter
0406.10-1010,Mozzarella cheese Fresh Mozzarella Pearls U.S.A
0406.10-1010,Mozzarella cheese Fresh Mozzarella Sliced U.S.A
0406.10-1090,Ricotta cheese RICOTTA CON LATTE U.S.A
0406.30-0000,Processed cheese BLUEBERRY CREAM CHEESE RIBBON
0406.30-0000,Processed cheese STRAWBERRY CREAM CHEESE RIBBON
0406.90-1000,Cheddar cheese Flagship Handmade Cheese C1307010 U.S.A
0406.90-9000,Other cheese
0406.90-9000,Other cheese STUFFED SPUDZ U.S.A
0506.90-2000,Bone powder
0603.90-0000,Rose
0709.99-9000,Ginger sprouts
0710.21-0000,Peas
0710.40-0000,Sweet corn
0710.80-4000,Carrot
0710.80-9000,Other vegetables
0710.90-0000,Vegetable
0712.20-0000,Onion powder  ONION POWDER CN  PR.CHNA
0712.20-0000,Onion powder Fancy Veggie Powder U.S.A
0712.90-1000,Garlic powder  GARLIC POWDER CN  PR.CHNA
0712.90-1000,Garlic powder POWDER OF DRIED GARLIC PR.CHNA
0712.90-2030,Dried vegetable Freezedried Chives P.PERU
0712.90-2040,Carrot powder Carrot powder U.S.A
0712.90-2099,Chong kyung chia
0714.20-4000,Sweet potatoes
0802.12-0000,Almond
0904.11-0000,Pepper
0904.22-0000,Green pepper
0904.22-0000,Green pepper
0904.22-0000,Green pepper
0904.22-0000,Red pepper powder ASSORTED CHILI PEPPER NANAMI TOGARASHI 300g JAPAN
0904.22-0000,Red pepper powder S&B ASSORTED CHILI PEPPER NANAMI TOGARASHI 15g JAPAN
0910.11-2000,Ginger
0910.99-9000,Basil seed INDIA
1001.99-9090,OHSOSOFT COMPORT CUSHION
1004.90-0000, LAVENDER COMPORT(40cm12.5cm)
1004.90-0000,Oats with hull CANADA
1004.90-0000,Oats with hull Unhulled Milling Oat AUSTRAL
1004.90-0000,Oat  PR.CHNA
1101.00-1000,Oat POLAND
1102.20-0000,Wheat flour LA RIMACINATA PER PANE ITALY
1102.20-0000,Maize(corn) flour  GOLDEN CORN GRANULES 300  NETHERL
1102.20-0000,Maize(corn) flour  Weightain  AUSTRAL
1102.90-2000,Maize(corn) flour YELLOW CORN FLOUR NETHERL
1102.90-9000,Glutinous rice flour
1102.90-9000,Quinoa flour Quinoasure COLOMBI
1102-90-9000,Quinoa flour  P.PERU
1103.13-0000,Quinoa powder P.PERU
